,total_trans_mean,Flights Mean,Rental Car Mean,Hotel Mean
72009605,0.00011852554225435582,1.0,0.0,0.0
72012653,0.00023705108450871164,1.0,0.0,0.0
72017147,0.00011852554225435582,1.0,0.0,0.0
72066642,0.00011852554225435582,0.0,1.0,0.0
72099217,0.00011852554225435582,1.0,0.0,0.0
72121579,0.00023705108450871164,0.5,0.5,0.0
72126634,0.00023705108450871164,0.5,0.0,0.5
72128270,0.00011852554225435582,1.0,0.0,0.0
72138418,0.0005926277112717791,0.8,0.2,0.0
72146235,0.00011852554225435582,0.0,1.0,0.0
72174995,0.00023705108450871164,1.0,0.0,0.0
72180184,0.00011852554225435582,0.0,0.0,0.0
72184270,0.00011852554225435582,1.0,0.0,0.0
72189003,0.00023705108450871164,0.0,0.5,0.5
72302444,0.0005926277112717791,1.0,0.0,0.0
72303031,0.00011852554225435582,0.0,1.0,0.0
72305646,0.00023705108450871164,1.0,0.0,0.0
72312432,0.00011852554225435582,1.0,0.0,0.0
72313278,0.00011852554225435582,1.0,0.0,0.0
72314814,0.0010667298802892024,1.0,0.0,0.0
72314868,0.00011852554225435582,1.0,0.0,0.0
72317638,0.0007111532535261348,1.0,0.0,0.0
72352716,0.00011852554225435582,0.0,1.0,0.0
72353154,0.0004741021690174233,0.5,0.0,0.25
72359369,0.0010667298802892024,0.6666666666666666,0.1111111111111111,0.2222222222222222
72384774,0.0003555766267630674,1.0,0.0,0.0
72387837,0.00011852554225435582,1.0,0.0,0.0
72397803,0.00011852554225435582,1.0,0.0,0.0
72487623,0.00011852554225435582,1.0,0.0,0.0
72487729,0.00023705108450871164,0.0,0.0,0.0
72559815,0.00023705108450871164,1.0,0.0,0.0
72619452,0.00011852554225435582,0.0,0.0,1.0
72630242,0.00011852554225435582,1.0,0.0,0.0
72661516,0.00011852554225435582,1.0,0.0,0.0
72663857,0.00023705108450871164,0.0,1.0,0.0
72678486,0.00023705108450871164,1.0,0.0,0.0
72685732,0.00011852554225435582,0.0,1.0,0.0
72820958,0.00011852554225435582,0.0,0.0,0.0
72833745,0.00011852554225435582,1.0,0.0,0.0
72848989,0.00023705108450871164,0.5,0.5,0.0
72935404,0.00011852554225435582,1.0,0.0,0.0
72943072,0.00023705108450871164,1.0,0.0,0.0
72958901,0.00011852554225435582,1.0,0.0,0.0
72964360,0.00011852554225435582,1.0,0.0,0.0
72988336,0.00023705108450871164,1.0,0.0,0.0
73109942,0.0003555766267630674,0.0,1.0,0.0
73112885,0.0004741021690174233,1.0,0.0,0.0
73114567,0.00023705108450871164,0.0,1.0,0.0
73123578,0.0004741021690174233,1.0,0.0,0.0
73148000,0.00023705108450871164,0.5,0.0,0.0
73187032,0.00011852554225435582,1.0,0.0,0.0
73216061,0.00011852554225435582,1.0,0.0,0.0
73218847,0.00011852554225435582,1.0,0.0,0.0
73219648,0.00023705108450871164,0.5,0.5,0.0
73288574,0.0010667298802892024,1.0,0.0,0.0
73317343,0.00011852554225435582,1.0,0.0,0.0
73318945,0.00011852554225435582,1.0,0.0,0.0
73348914,0.00011852554225435582,1.0,0.0,0.0
73352046,0.00011852554225435582,1.0,0.0,0.0
73354430,0.00011852554225435582,1.0,0.0,0.0
73492659,0.00023705108450871164,1.0,0.0,0.0
73493591,0.0003555766267630674,0.0,0.0,0.0
73559761,0.00011852554225435582,1.0,0.0,0.0
73560105,0.00011852554225435582,0.0,1.0,0.0
73561542,0.0003555766267630674,1.0,0.0,0.0
73562568,0.00023705108450871164,0.5,0.5,0.0
73563421,0.0007111532535261348,1.0,0.0,0.0
73569415,0.00011852554225435582,0.0,1.0,0.0
73575147,0.00011852554225435582,0.0,1.0,0.0
73575852,0.00023705108450871164,1.0,0.0,0.0
73576730,0.00023705108450871164,1.0,0.0,0.0
73630033,0.00011852554225435582,1.0,0.0,0.0
73630576,0.00011852554225435582,1.0,0.0,0.0
73632764,0.00011852554225435582,1.0,0.0,0.0
73636081,0.00023705108450871164,0.5,0.5,0.0
